"Source","Target","weight","jaccard","ra","pa","cn","salton","hubprom","hubdep","sorensen","lhn","AdamAdar","cosine_similarity","pearson_similarity"
1,10,18,0.615,0.961864784747979,5460,58,0.784931344843112,0.69047619047619,0.892307692307692,0.744827586206896,0.0106227106227106,14.2192291302777,0.61174,0.44919
1,104,2,0.352,0.413585236482655,2940,31,0.571726113011571,0.369047619047619,0.885714285714286,0.495726495726496,0.0105442176870748,7.2533285407221,0.54447,0.44614
1,105,2,0.299,0.3626917907149,2436,26,0.52678658400752,0.30952380952381,0.896551724137931,0.432432432432432,0.0106732348111658,6.14789436439422,0.55055,0.45975
1,106,1,0.318,0.378458036613508,2688,28,0.540061724867322,0.333333333333333,0.875,0.456140350877193,0.0104166666666667,6.56461728881825,0.54693,0.45691
1,107,1,0.302,0.364645852490302,2352,26,0.53611096424751,0.30952380952381,0.928571428571429,0.436363636363636,0.0110544217687075,6.15842123776973,0.54553,0.45491
1,108,1,0.244,0.273576792542809,1932,21,0.477766542952955,0.25,0.91304347826087,0.361904761904762,0.0108695652173913,4.90991668515882,0.54995,0.45992
1,109,1,0.314,0.418878847645235,2436,27,0.547047606469348,0.321428571428571,0.931034482758621,0.45045045045045,0.0110837438423645,6.52610910190687,0.54298,0.44606
1,11,9,0.584,0.878795863912842,4956,54,0.767057836131634,0.642857142857143,0.915254237288136,0.719424460431655,0.0108958837772397,13.1920402523142,0.6088,0.45035
1,111,1,0.418,0.517691574657949,3948,40,0.63660701407923,0.476190476190476,0.851063829787234,0.566929133858268,0.0101317122593718,9.43222260531388,0.54451,0.44952
1,112,1,0.222,0.287086254207677,2352,22,0.453632354363277,0.261904761904762,0.785714285714286,0.333333333333333,0.00935374149659864,5.37517705950227,0.54609,0.45188
1,113,17,0.726,1.55770801564683,9324,82,0.849205346868307,0.738738738738739,0.976190476190476,0.829015544041451,0.0087945087945088,20.5802585365474,0.54154,0.45167
1,12,25,0.753,1.3212632209253,7392,75,0.872328947248566,0.852272727272727,0.892857142857143,0.845238095238095,0.0101461038961039,18.5643470442608,0.70948,0.42097
1,13,10,0.628,0.952508003462787,5964,61,0.789879818346598,0.726190476190476,0.859154929577465,0.754966887417219,0.0102280348759222,14.7591739577318,0.58003,0.44919
1,14,4,0.582,0.950700482466018,6132,59,0.753443930252225,0.702380952380952,0.808219178082192,0.718954248366013,0.00962165688193085,14.3551193780467,0.56498,0.4522
1,15,22,0.611,0.986993334721851,5964,60,0.776930968865506,0.714285714285714,0.845070422535211,0.741721854304636,0.0100603621730382,14.6771412850252,0.6277,0.5196
1,16,21,0.755,1.28434159203253,6972,73,0.874267171196679,0.869047619047619,0.879518072289157,0.846625766871166,0.0104704532415376,18.0740450730402,0.60831,0.44942
1,17,6,0.717,1.28835072655672,7392,73,0.849066841988605,0.829545454545455,0.869047619047619,0.821428571428572,0.00987554112554113,18.0762225762063,0.57195,0.44918
1,18,2,0.635,1.1287212876799,7392,68,0.7909115788387,0.772727272727273,0.80952380952381,0.761904761904762,0.0091991341991342,16.6294560052115,0.55851,0.44996
1,19,14,0.617,0.998358383015736,5880,60,0.782460796435952,0.714285714285714,0.857142857142857,0.746666666666667,0.0102040816326531,14.7065051048311,0.59854,0.48362
1,2,32,0.649,1.03529687766501,6552,65,0.803020093049526,0.773809523809524,0.833333333333333,0.772151898734177,0.00992063492063492,15.7746773273969,0.7089,0.43133
1,20,2,0.637,1.14413021253418,7140,67,0.792913289454678,0.788235294117647,0.797619047619048,0.763636363636364,0.00938375350140056,16.4907699495567,0.55444,0.45127
1,21,3,0.663,1.26304097770173,7644,71,0.812078494297228,0.78021978021978,0.845238095238095,0.783625730994152,0.00928833071690215,17.6082691948478,0.5663,0.45036
1,22,5,0.515,0.795136966235688,5712,53,0.701264364333076,0.630952380952381,0.779411764705882,0.662162162162162,0.00927871148459384,12.7277935876524,0.55662,0.4505
1,23,11,0.697,1.26614517982773,7224,71,0.835351929469646,0.825581395348837,0.845238095238095,0.807228915662651,0.00982834994462901,17.6288817585914,0.57428,0.46837
1,24,6,0.596,0.91963355837117,5544,56,0.752101433090355,0.666666666666667,0.848484848484849,0.72972972972973,0.0101010101010101,13.6188642480417,0.57537,0.44748
