"Source","Target","weight","jaccard","ra","pa","cn","salton","hubprom","hubdep","sorensen","lhn","AdamAdar","cosine_similarity","pearson_similarity"
1,10,5,0.442,0.965567559712914,4774,44,0.636812338069113,0.571428571428571,0.709677419354839,0.592592592592593,0.00921658986175115,11.5028312249605,0.74989,0.67258
1,101,1,0.127,0.168307001847295,1078,12,0.365486942323904,0.155844155844156,0.857142857142857,0.183908045977011,0.0111317254174397,3.2457711641898,0.63754,0.56922
1,105,1,0.135,0.231179579078288,1848,12,0.279145263119541,0.155844155844156,0.5,0.202020202020202,0.00649350649350649,3.07459101870902,0.63377,0.56434
1,106,1,0.188,0.311792909103397,2849,18,0.337230060528586,0.233766233766234,0.486486486486487,0.285714285714286,0.00631800631800632,4.47776077505587,0.64391,0.56984
1,11,6,0.424,1.41598953694193,7931,55,0.61758780898189,0.533980582524272,0.714285714285714,0.579545454545455,0.00693481276005548,14.8847044180521,0.7841,0.66871
1,111,3,0.26,0.523321541089422,3542,27,0.453669398579216,0.350649350649351,0.58695652173913,0.38655462184874,0.00762281197063806,6.96004996346524,0.63936,0.56701
1,115,2,0.141,0.16751795707366,1540,12,0.305788314862575,0.155844155844156,0.6,0.210526315789474,0.00779220779220779,2.87471099768582,0.6331,0.56727
1,116,1,0.095,0.084232313455621,1155,8,0.2353959545346,0.103896103896104,0.533333333333333,0.133333333333333,0.00692640692640693,1.85306190702977,0.63151,0.56264
1,12,3,0.355,0.952009318505386,5390,40,0.544835765283196,0.519480519480519,0.571428571428571,0.503496503496503,0.00742115027829314,10.6486542881961,0.7068,0.6097
1,125,1,0.105,0.151166649845831,1386,9,0.241746889207614,0.116883116883117,0.5,0.150537634408602,0.00649350649350649,2.24092088178578,0.63961,0.57169
1,13,4,0.321,0.827251114909471,5313,37,0.507611924963863,0.480519480519481,0.536231884057971,0.464788732394366,0.00696405044231131,9.70553687068515,0.67596,0.60602
1,135,1,0.064,0.0395063036678805,616,7,0.282038037408883,0.0909090909090909,0.875,0.0740740740740741,0.0113636363636364,2.10542072900058,0.63177,0.56615
1,14,4,0.283,0.563674460839823,3311,28,0.486607099562479,0.363636363636364,0.651162790697674,0.413793103448276,0.00845665961945032,7.29093347652197,0.6694,0.58682
1,148,1,0.171,0.282419936747061,1617,16,0.397891785041595,0.207792207792208,0.761904761904762,0.25531914893617,0.00989486703772418,4.24059543579194,0.63856,0.5706
1,15,6,0.364,0.800303195649809,4620,38,0.559065392019675,0.493506493506494,0.633333333333333,0.511278195488722,0.00822510822510823,9.87201833390898,0.68954,0.62004
1,154,1,0.154,0.179088159515506,1155,14,0.41194292043555,0.181818181818182,0.933333333333333,0.227272727272727,0.0121212121212121,3.66300433600179,0.6361,0.56817
1,157,1,0.075,0.0678308617009325,693,6,0.227921152919276,0.0779220779220779,0.666666666666667,0.0952380952380952,0.00865800865800866,1.42314453246746,0.62734,0.55948
1,16,5,0.256,0.45945415558068,2926,25,0.462171166654085,0.324675324675325,0.657894736842105,0.378378378378378,0.00854408749145591,6.40441536949023,0.65763,0.58958
1,167,1,0.118,0.131546552910378,1540,12,0.305788314862575,0.155844155844156,0.6,0.172043010752688,0.00779220779220779,3.05195972133243,0.63209,0.56565
1,17,1,0.205,0.340160768936649,2233,18,0.380915060121436,0.233766233766234,0.620689655172414,0.307692307692308,0.00806090461262875,4.51256371823612,0.65106,0.57529
1,170,1,0.073,0.0572399784438088,847,6,0.206162439823215,0.0779220779220779,0.545454545454545,0.0930232558139535,0.00708382526564345,1.39195231811999,0.63137,0.56558
1,18,2,0.449,1.30713315791549,6160,50,0.637058989297032,0.625,0.649350649350649,0.601307189542484,0.00811688311688312,13.5547827188273,0.73522,0.63466
1,2,17,0.415,0.922803707576286,5775,46,0.605315559362987,0.597402597402597,0.613333333333333,0.567567567567568,0.00796536796536797,11.8065976978404,0.99627,0.99388
1,20,5,0.298,0.575122307937288,3619,30,0.498685755491408,0.38961038961039,0.638297872340426,0.433333333333333,0.00828958275766786,7.68705823927463,0.67619,0.60562
1,206,5,0.383,2.3048503536237,13244,69,0.599569461960912,0.401162790697674,0.896103896103896,0.54251012145749,0.00520990637269707,19.9260369317887,0.62685,0.55903
1,21,2,0.396,1.01912906038281,5082,42,0.589158245309805,0.545454545454545,0.636363636363636,0.546762589928058,0.00826446280991736,11.2081386276611,0.63057,0.56448
1,22,1,0.275,0.484796973317968,3157,27,0.480536602182786,0.350649350649351,0.658536585365854,0.403508771929825,0.00855242318656953,6.87791318113372,0.64535,0.57734
1,23,1,0.309,0.61341358730225,3696,31,0.509912563593821,0.402597402597403,0.645833333333333,0.446280991735537,0.00838744588744589,8.01119804104279,0.67389,0.60356
1,24,2,0.235,0.430984782080727,2156,20,0.430730492253948,0.25974025974026,0.714285714285714,0.349514563106796,0.00927643784786642,5.16353819759625,0.65899,0.57853
1,25,2,0.315,0.787586456549545,5159,36,0.501210010965535,0.467532467532468,0.537313432835821,0.457142857142857,0.00697809653033534,9.41631549427655,0.67069,0.60079
1,26,7,0.278,0.506487787834345,3080,27,0.486506229855602,0.350649350649351,0.675,0.407079646017699,0.00876623376623377,6.93578471124706,0.69099,0.61993
