"Source","Target","weight","jaccard","ra","pa","cn","salton","hubprom","hubdep","sorensen","lhn","AdamAdar","cosine_similarity","pearson_similarity"
1,10,9,0.57,2.26267100996883,9047,71,0.746459163111414,0.651376146788991,0.855421686746988,0.712765957446808,0.00784790538299989,20.2456883628912,0.99227,0.99387
1,100,1,0.101,0.213576823410901,1199,11,0.317675040241849,0.100917431192661,1,0.152542372881356,0.00917431192660551,2.77925939798407,0.96617,0.97533
1,101,1,0.111,0.159360580956726,1417,14,0.371914499853298,0.128440366972477,1.07692307692308,0.169491525423729,0.00988002822865208,3.57735592322962,0.96761,0.97714
1,102,5,0.171,0.328344209599497,2289,19,0.397128179229721,0.174311926605505,0.904761904761905,0.265625,0.00830056793359546,4.65674314246962,0.96677,0.97626
1,104,2,0.188,0.404376036894687,2616,21,0.410582490678032,0.192660550458716,0.875,0.290076335877863,0.00802752293577982,5.26123334458183,0.96574,0.97499
1,106,1,0.266,0.646236675318784,3379,31,0.533295105663619,0.284403669724771,1,0.397058823529412,0.00917431192660551,8.08509947601916,0.96709,0.97654
1,108,1,0.12,0.219511977378126,1308,13,0.359450821346065,0.119266055045872,1.08333333333333,0.184873949579832,0.0099388379204893,3.19501782945707,0.96514,0.97475
1,11,1,0.592,2.57497213708763,10900,79,0.75668276532471,0.724770642201835,0.79,0.731707317073171,0.00724770642201835,22.7075656534655,0.97187,0.97127
1,110,2,0.12,0.194004664864497,1526,15,0.383984763786853,0.137614678899083,1.07142857142857,0.184873949579832,0.00982961992136304,3.85818213293637,0.96949,0.97834
1,111,2,0.119,0.258513657958754,1417,13,0.345349178435206,0.119266055045872,1,0.183333333333333,0.00917431192660551,3.29331344693328,0.96789,0.97734
1,112,1,0.111,0.22803230282571,1417,14,0.371914499853298,0.128440366972477,1.07692307692308,0.169491525423729,0.00988002822865208,3.79244793817658,0.96911,0.97756
1,114,1,0.2,0.557453024890007,2507,22,0.439385290588976,0.201834862385321,0.956521739130435,0.307692307692308,0.00877542879936179,5.9091434936819,0.96658,0.97585
1,119,1,0.171,0.306261307428012,2507,21,0.419413231925841,0.192660550458716,0.91304347826087,0.265625,0.00837654567211807,5.23907563475449,0.9667,0.97628
1,12,10,0.628,2.46638710754759,9810,78,0.787517292659997,0.715596330275229,0.866666666666667,0.758974358974359,0.00795107033639144,22.2382035984242,0.96923,0.96072
1,120,1,0.17,0.394451545377184,2398,19,0.387997575291427,0.174311926605505,0.863636363636364,0.263565891472868,0.0079232693911593,4.83376669114287,0.96628,0.97618
1,121,2,0.193,0.36166770003769,2507,23,0.459357349252112,0.211009174311927,1,0.296875,0.00917431192660551,5.76998490053206,0.96565,0.97509
1,122,2,0.241,0.547842329966074,3488,29,0.491031959571982,0.26605504587156,0.90625,0.364963503649635,0.00831422018348624,7.43805842658692,0.96725,0.97638
1,126,1,0.18,0.334597386389901,2616,22,0.430134037853176,0.201834862385321,0.916666666666667,0.27906976744186,0.00840978593272171,5.46146080881031,0.96753,0.97725
1,13,4,0.575,2.35023527481576,10137,75,0.744914692288066,0.688073394495413,0.806451612903226,0.717171717171717,0.00739863865048831,21.3326672123553,0.97252,0.96738
1,130,1,0.117,0.190099539906875,1635,13,0.321502588439174,0.119266055045872,0.866666666666667,0.180327868852459,0.00795107033639144,3.09585352581035,0.96521,0.97544
1,131,1,0.089,0.158352896064557,1417,10,0.265653214180928,0.0917431192660551,0.769230769230769,0.133333333333333,0.00705716302046577,2.41850677182879,0.96511,0.97453
1,135,2,0.147,0.27264786976287,1744,16,0.383130514088461,0.146788990825688,1,0.227642276422764,0.00917431192660551,3.92713283294428,0.96522,0.97492
1,136,2,0.162,0.402845615062717,2180,18,0.385517643190307,0.165137614678899,0.9,0.251968503937008,0.00825688073394495,4.64364230395073,0.96665,0.97452
1,137,1,0.135,0.313209401510057,1853,15,0.348460495143511,0.137614678899083,0.882352941176471,0.209677419354839,0.00809498111171074,3.86279048826956,0.96539,0.9756
1,14,8,0.427,1.38241501497389,6540,52,0.643005176878347,0.477064220183486,0.866666666666667,0.581818181818182,0.00795107033639144,14.1846340292459,0.97141,0.97055
1,142,1,0.303,0.659316011222303,3597,33,0.550229309995371,0.302752293577982,1,0.442857142857143,0.00917431192660551,8.33014211164785,0.96555,0.97552
1,143,1,0.124,0.244501170758393,1962,14,0.316066548690012,0.128440366972477,0.777777777777778,0.192,0.00713557594291539,3.46059413371747,0.9663,0.97627
1,144,1,0.205,0.624394060307442,2834,23,0.432043935140073,0.211009174311927,0.884615384615385,0.315789473684211,0.00811573747353564,6.28084396260168,0.96506,0.97539
1,145,10,0.713,3.56149540489476,13516,97,0.834348794344694,0.782258064516129,0.889908256880734,0.822510822510823,0.00717667949097366,28.8387341121234,0.96535,0.97575
1,15,5,0.445,1.7387382343843,7085,55,0.653420509884851,0.504587155963303,0.846153846153846,0.6,0.00776287932251235,15.5979363173809,0.98809,0.99059
1,16,8,0.365,1.20314003922117,5232,42,0.580651326789798,0.385321100917431,0.875,0.516129032258065,0.00802752293577982,11.5954878511885,0.98253,0.98702
1,17,1,0.282,0.766531370099688,3488,31,0.524896232645912,0.284403669724771,0.96875,0.41726618705036,0.00888761467889908,8.20919846933207,0.96863,0.97362
1,18,2,0.229,0.544832588876718,2725,25,0.478913142610576,0.229357798165138,1,0.348484848484849,0.00917431192660551,6.42685381032304,0.97016,0.97901
1,19,2,0.496,1.55164430878203,6758,58,0.7055355472298,0.532110091743119,0.935483870967742,0.646706586826347,0.00858242083456644,15.8394792888085,0.98171,0.98607
1,2,7,0.68,2.91568918895328,11227,87,0.821083625534657,0.798165137614679,0.844660194174757,0.798076923076923,0.0077491760933464,25.2053876244888,0.76944,0.67748
1,20,5,0.333,0.977876539652046,4687,38,0.555055128668218,0.348623853211009,0.883720930232558,0.48,0.00810753147002347,10.2034783161862,0.96866,0.97396
1,21,4,0.395,1.17315884741496,5668,47,0.62428505332518,0.431192660550459,0.903846153846154,0.547770700636943,0.00829216654904728,12.6332751705115,0.97418,0.97898
1,22,1,0.342,1.05290091363441,5014,41,0.579017502713298,0.376146788990826,0.891304347826087,0.490066225165563,0.00817710410849621,11.1093885044315,0.96874,0.97334
1,23,4,0.439,1.70408766535374,7630,56,0.641099972166531,0.513761467889908,0.8,0.594285714285714,0.0073394495412844,15.7333165176216,0.97876,0.98441
1,24,4,0.356,1.05515300428588,5777,44,0.578897258292563,0.403669724770642,0.830188679245283,0.506329113924051,0.00761640990133287,11.7496768820057,0.97558,0.97878
1,25,5,0.415,1.47033928757604,7303,53,0.62019065679326,0.486238532110092,0.791044776119403,0.569767441860465,0.00725729152403122,14.6005174050861,0.97268,0.97891
1,26,5,0.211,0.538060864521922,2507,23,0.459357349252112,0.211009174311927,1,0.323076923076923,0.00917431192660551,5.9956558923865,0.96805,0.97463
1,27,3,0.304,0.712922303584597,4251,36,0.552149836986412,0.330275229357798,0.923076923076923,0.444444444444444,0.00846859562455893,9.23276541257213,0.96991,0.97445
1,28,7,0.135,0.245193885671194,1853,15,0.348460495143511,0.137614678899083,0.882352941176471,0.209677419354839,0.00809498111171074,3.63406750663178,0.97727,0.98292
1,3,13,0.648,2.58859589869344,10246,81,0.800217128449807,0.743119266055046,0.861702127659574,0.773869346733668,0.00790552410696857,23.1779881541764,0.66658,0.49723
